*******************************************************************************,,,,,,,,,,
Revised: April 12, 2021         Earth Barycenter                              3,,,,,,,,,
 ,,,,,,,,,,
 Dynamical point:,,,,,,,,,,
 ---------------,,,,,,,,,,
 The common point about which the Earth and Moon revolve (center of mass). This,,,,,,,,,,
 is approximately 4671 km from the center of the Earth, or about 3/4 of the way ,,,,,,,,,
 to the surface. See 399 for Earth center, or 301 for Moon center ephemeris.,,,,,,,,,
*******************************************************************************,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
*******************************************************************************,,,,,,,,,,
Ephemeris / WWW_USER Wed Mar  8 07:28:40 2023 Pasadena, USA      / Horizons,,,,,,,,,
*******************************************************************************,,,,,,,,,,
Target body name: Earth-Moon Barycenter (3)       {source: DE441},,,,,,,,,,
Center body name: Solar System Barycenter (0)     {source: DE441},,,,,,,,,,
Center-site name: BODY CENTER,,,,,,,,,,
*******************************************************************************,,,,,,,,,,
Start time      : A.D. 2020-Nov-16 09:03:00.0000 TDB,,,,,,,,,,
Stop  time      : A.D. 2022-Dec-11 17:21:14.7640 TDB,,,,,,,,,,
Step-size       : 1440 minutes,,,,,,,,,,
*******************************************************************************,,,,,,,,,,
Center geodetic : 0.0,0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)},,,,,,
Center cylindric: 0.0,0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)},,,,,,
Center radii    : (undefined),,,,,,,,,,
Output units    : KM-S,,,,,,,,,,
Calendar mode   : Mixed Julian/Gregorian,,,,,,,,,,
Output type     : GEOMETRIC cartesian states,,,,,,,,,,
2459208.877, A.D. 2020-Dec-25 09:03:00.0000,-1.06E+07,1.48E+08,8.74E+03,-3.02E+01,-2.07E+00,5.54E-04,4.94E+02,1.48E+08,1.00E-01
2459209.877, A.D. 2020-Dec-26 09:03:00.0000,-1.32E+07,1.48E+08,8.79E+03,-3.02E+01,-2.60E+00,5.79E-04,4.94E+02,1.48E+08,1.06E-01
2459210.877, A.D. 2020-Dec-27 09:03:00.0000,-1.58E+07,1.47E+08,8.84E+03,-3.01E+01,-3.12E+00,6.03E-04,4.94E+02,1.48E+08,1.12E-01
2459211.877, A.D. 2020-Dec-28 09:03:00.0000,-1.84E+07,1.47E+08,8.90E+03,-3.01E+01,-3.65E+00,6.27E-04,4.94E+02,1.48E+08,1.17E-01
2459212.877, A.D. 2020-Dec-29 09:03:00.0000,-2.10E+07,1.47E+08,8.95E+03,-3.00E+01,-4.18E+00,6.52E-04,4.94E+02,1.48E+08,1.23E-01
2459213.877, A.D. 2020-Dec-30 09:03:00.0000,-2.36E+07,1.46E+08,9.01E+03,-2.99E+01,-4.70E+00,6.76E-04,4.94E+02,1.48E+08,1.28E-01
2459214.877, A.D. 2020-Dec-31 09:03:00.0000,-2.62E+07,1.46E+08,9.07E+03,-2.98E+01,-5.22E+00,7.00E-04,4.94E+02,1.48E+08,1.34E-01
2459215.877, A.D. 2021-Jan-01 09:03:00.0000,-2.88E+07,1.45E+08,9.13E+03,-2.98E+01,-5.75E+00,7.24E-04,4.94E+02,1.48E+08,1.39E-01
2459216.877, A.D. 2021-Jan-02 09:03:00.0000,-3.13E+07,1.45E+08,9.19E+03,-2.96E+01,-6.26E+00,7.48E-04,4.94E+02,1.48E+08,1.44E-01
2459217.877, A.D. 2021-Jan-03 09:03:00.0000,-3.39E+07,1.44E+08,9.26E+03,-2.95E+01,-6.78E+00,7.72E-04,4.94E+02,1.48E+08,1.50E-01
2459218.877, A.D. 2021-Jan-04 09:03:00.0000,-3.64E+07,1.44E+08,9.33E+03,-2.94E+01,-7.30E+00,7.96E-04,4.94E+02,1.48E+08,1.55E-01
2459219.877, A.D. 2021-Jan-05 09:03:00.0000,-3.90E+07,1.43E+08,9.40E+03,-2.93E+01,-7.81E+00,8.20E-04,4.94E+02,1.48E+08,1.60E-01
2459220.877, A.D. 2021-Jan-06 09:03:00.0000,-4.15E+07,1.42E+08,9.47E+03,-2.91E+01,-8.32E+00,8.43E-04,4.94E+02,1.48E+08,1.66E-01
2459221.877, A.D. 2021-Jan-07 09:03:00.0000,-4.40E+07,1.42E+08,9.54E+03,-2.90E+01,-8.83E+00,8.66E-04,4.95E+02,1.48E+08,1.71E-01
2459222.877, A.D. 2021-Jan-08 09:03:00.0000,-4.65E+07,1.41E+08,9.62E+03,-2.88E+01,-9.34E+00,8.90E-04,4.95E+02,1.48E+08,1.76E-01
2459223.877, A.D. 2021-Jan-09 09:03:00.0000,-4.90E+07,1.40E+08,9.70E+03,-2.87E+01,-9.84E+00,9.13E-04,4.95E+02,1.48E+08,1.81E-01
2459224.877, A.D. 2021-Jan-10 09:03:00.0000,-5.15E+07,1.39E+08,9.78E+03,-2.85E+01,-1.03E+01,9.35E-04,4.95E+02,1.48E+08,1.86E-01
2459225.877, A.D. 2021-Jan-11 09:03:00.0000,-5.39E+07,1.38E+08,9.86E+03,-2.83E+01,-1.08E+01,9.58E-04,4.95E+02,1.48E+08,1.91E-01
2459226.877, A.D. 2021-Jan-12 09:03:00.0000,-5.63E+07,1.37E+08,9.94E+03,-2.81E+01,-1.13E+01,9.81E-04,4.95E+02,1.48E+08,1.96E-01
2459227.877, A.D. 2021-Jan-13 09:03:00.0000,-5.88E+07,1.36E+08,1.00E+04,-2.79E+01,-1.18E+01,1.00E-03,4.95E+02,1.48E+08,2.01E-01
2459228.877, A.D. 2021-Jan-14 09:03:00.0000,-6.12E+07,1.35E+08,1.01E+04,-2.77E+01,-1.23E+01,1.02E-03,4.95E+02,1.48E+08,2.05E-01
2459229.877, A.D. 2021-Jan-15 09:03:00.0000,-6.35E+07,1.34E+08,1.02E+04,-2.75E+01,-1.28E+01,1.05E-03,4.95E+02,1.48E+08,2.10E-01
2459230.877, A.D. 2021-Jan-16 09:03:00.0000,-6.59E+07,1.33E+08,1.03E+04,-2.72E+01,-1.33E+01,1.07E-03,4.95E+02,1.48E+08,2.15E-01
2459231.877, A.D. 2021-Jan-17 09:03:00.0000,-6.82E+07,1.32E+08,1.04E+04,-2.70E+01,-1.37E+01,1.09E-03,4.95E+02,1.48E+08,2.19E-01
2459232.877, A.D. 2021-Jan-18 09:03:00.0000,-7.06E+07,1.31E+08,1.05E+04,-2.67E+01,-1.42E+01,1.11E-03,4.95E+02,1.48E+08,2.24E-01
2459233.877, A.D. 2021-Jan-19 09:03:00.0000,-7.29E+07,1.29E+08,1.06E+04,-2.65E+01,-1.47E+01,1.13E-03,4.95E+02,1.48E+08,2.28E-01
2459234.877, A.D. 2021-Jan-20 09:03:00.0000,-7.51E+07,1.28E+08,1.07E+04,-2.62E+01,-1.51E+01,1.15E-03,4.95E+02,1.48E+08,2.33E-01
2459235.877, A.D. 2021-Jan-21 09:03:00.0000,-7.74E+07,1.27E+08,1.08E+04,-2.60E+01,-1.56E+01,1.17E-03,4.95E+02,1.48E+08,2.37E-01
2459236.877, A.D. 2021-Jan-22 09:03:00.0000,-7.96E+07,1.25E+08,1.09E+04,-2.57E+01,-1.60E+01,1.19E-03,4.95E+02,1.49E+08,2.41E-01
2459237.877, A.D. 2021-Jan-23 09:03:00.0000,-8.18E+07,1.24E+08,1.10E+04,-2.54E+01,-1.65E+01,1.21E-03,4.95E+02,1.49E+08,2.46E-01
2459238.877, A.D. 2021-Jan-24 09:03:00.0000,-8.40E+07,1.23E+08,1.11E+04,-2.51E+01,-1.69E+01,1.23E-03,4.96E+02,1.49E+08,2.50E-01
2459239.877, A.D. 2021-Jan-25 09:03:00.0000,-8.62E+07,1.21E+08,1.12E+04,-2.48E+01,-1.73E+01,1.25E-03,4.96E+02,1.49E+08,2.54E-01
2459240.877, A.D. 2021-Jan-26 09:03:00.0000,-8.83E+07,1.20E+08,1.13E+04,-2.45E+01,-1.78E+01,1.27E-03,4.96E+02,1.49E+08,2.58E-01
2459241.877, A.D. 2021-Jan-27 09:03:00.0000,-9.04E+07,1.18E+08,1.14E+04,-2.42E+01,-1.82E+01,1.29E-03,4.96E+02,1.49E+08,2.61E-01
2459242.877, A.D. 2021-Jan-28 09:03:00.0000,-9.25E+07,1.16E+08,1.15E+04,-2.39E+01,-1.86E+01,1.31E-03,4.96E+02,1.49E+08,2.65E-01
2459243.877, A.D. 2021-Jan-29 09:03:00.0000,-9.45E+07,1.15E+08,1.16E+04,-2.35E+01,-1.90E+01,1.33E-03,4.96E+02,1.49E+08,2.69E-01
2459244.877, A.D. 2021-Jan-30 09:03:00.0000,-9.65E+07,1.13E+08,1.18E+04,-2.32E+01,-1.94E+01,1.35E-03,4.96E+02,1.49E+08,2.73E-01
2459245.877, A.D. 2021-Jan-31 09:03:00.0000,-9.85E+07,1.11E+08,1.19E+04,-2.28E+01,-1.98E+01,1.36E-03,4.96E+02,1.49E+08,2.76E-01
2459246.877, A.D. 2021-Feb-01 09:03:00.0000,-1.00E+08,1.10E+08,1.20E+04,-2.25E+01,-2.02E+01,1.38E-03,4.96E+02,1.49E+08,2.80E-01
2459247.877, A.D. 2021-Feb-02 09:03:00.0000,-1.02E+08,1.08E+08,1.21E+04,-2.21E+01,-2.06E+01,1.40E-03,4.96E+02,1.49E+08,2.83E-01
2459248.877, A.D. 2021-Feb-03 09:03:00.0000,-1.04E+08,1.06E+08,1.22E+04,-2.18E+01,-2.10E+01,1.41E-03,4.96E+02,1.49E+08,2.86E-01
2459249.877, A.D. 2021-Feb-04 09:03:00.0000,-1.06E+08,1.04E+08,1.24E+04,-2.14E+01,-2.14E+01,1.43E-03,4.96E+02,1.49E+08,2.89E-01
