            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2320768.499305556, A.D. 1641-Dec-11 23:59:00.0000, -5.092521246987125E+09, -3.981725190498169E+10, -1.517351975835564E+10,  3.056941777275005E-01,  2.280976487094898E+00,  9.329612468926221E-01,  1.431445931437305E+05,  4.291366942796890E+10, -2.482548726425769E+00,
2321133.499305556, A.D. 1642-Dec-11 23:59:00.0000, -5.082876612161872E+09, -3.974528569605613E+10, -1.514408518994974E+10,  3.059647119236157E-01,  2.283091837139183E+00,  9.337673111079843E-01,  1.428833272631872E+05,  4.283534388744931E+10, -2.484825853213466E+00,
2321498.499305556, A.D. 1643-Dec-11 23:59:00.0000, -5.073223430454711E+09, -3.967325265471301E+10, -1.511462515642347E+10,  3.062362185247724E-01,  2.285214979909691E+00,  9.345762373779892E-01,  1.426218214070435E+05,  4.275694640405460E+10, -2.487111322929986E+00,
2321864.499305556, A.D. 1644-Dec-11 23:59:00.0000, -5.063535188715207E+09, -3.960095490743199E+10, -1.508505874960012E+10,  3.065094514857315E-01,  2.287351816665269E+00,  9.353902724721902E-01,  1.423593572488134E+05,  4.267826162892189E+10, -2.489411487287823E+00,
2322229.499305556, A.D. 1645-Dec-11 23:59:00.0000, -5.053864797139879E+09, -3.952878727513587E+10, -1.505554744320437E+10,  3.067829239665611E-01,  2.289490718982361E+00,  9.362049860261844E-01,  1.420973681306293E+05,  4.259971926721220E+10, -2.491713828833360E+00,
2322594.499305556, A.D. 1646-Dec-11 23:59:00.0000, -5.044185765685861E+09, -3.945655206530791E+10, -1.502601039806934E+10,  3.070573902560033E-01,  2.291637564352501E+00,  9.370226155483320E-01,  1.418351363759797E+05,  4.252110416492016E+10, -2.494024674030295E+00,
2322959.499305556, A.D. 1647-Dec-11 23:59:00.0000, -5.034498062914324E+09, -3.938424902662363E+10, -1.499644752195439E+10,  3.073328560239452E-01,  2.293792405658447E+00,  9.378431791088678E-01,  1.415726610874000E+05,  4.244241605299261E+10, -2.496344078885473E+00,
2323325.499305556, A.D. 1648-Dec-11 23:59:00.0000, -5.024775079761487E+09, -3.931167953529691E+10, -1.496677762113441E+10,  3.076100843667105E-01,  2.295961232452665E+00,  9.386689559881444E-01,  1.413092212448641E+05,  4.236343877506361E+10, -2.498678489440727E+00,
2323690.499305556, A.D. 1649-Dec-11 23:59:00.0000, -5.015069915473250E+09, -3.923923989068991E+10, -1.493716273256698E+10,  3.078875659427810E-01,  2.298132245762059E+00,  9.394954532408820E-01,  1.410462554990078E+05,  4.228460362774355E+10, -2.501015205531549E+00,
2324055.499305556, A.D. 1650-Dec-11 23:59:00.0000, -5.005355984497620E+09, -3.916673165258450E+10, -1.490752173245804E+10,  3.081660658060503E-01,  2.300311412591261E+00,  9.403249422244817E-01,  1.407830434889459E+05,  4.220569465227198E+10, -2.503360649749125E+00,
