*******************************************************************************,,,,,,
JPL/HORIZONS                McNaught (C/2006 P1)           2023-Mar-07 16:39:14,,,,,,
Rec #:90003598 (+COV) Soln.date: 2021-Apr-15_23:30:59    # obs: 331 (2006-2007),,,,,,
 ,,,,,,
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):,,,
 ,,,,,,
  EPOCH=  2454065.5 ! 2006-Nov-26.0000000 (TDB)    RMSW= n.a.,,,,,,
   EC= 1.000018815882278   QR= .1707364648528884   TP= 2454113.2988436329,,,,,,
   OM= 267.4148026435385   W= 155.9749681149126    IN= 77.83700054890942,,,,,,
   A= -9074.061068728695   MA= -5.4502812965308E-5 ADIST= 9.999999E99,,,,,,
   PER= 9.999999E99        N= 1.14E-6              ANGMOM= .010052212,,,,,,
   DAN= 3.94245            DDN= .17847             L= 82.04948520000001,,,,,,
   B= 23.4529837           MOID= .40940601         TP= 2007-Jan-12.7988436329,,,,,,
 ,,,,,,
Comet physical (GM= km^3/s^2; RAD= km):,,,,,,
   GM= n.a.                RAD= n.a.,,,,,,
   M1=  5.4      M2=  12.9     k1=  20.75  k2=  5.      PHCOF=  .030,,,,,,
 ,,,,,,
COMET comments ,,,,,,
1: soln ref.= JPL#27, data arc: 2006-08-07 to 2007-07-11,,,,,
2: k1=20.75, k2=5., phase coef.=0.03;,,,,
*******************************************************************************,,,,,,
,,,,,,
,,,,,,
*******************************************************************************,,,,,,
Ephemeris / WWW_USER Tue Mar  7 16:39:14 2023 Pasadena, USA      / Horizons    ,,,,,
*******************************************************************************,,,,,,
Target body name: McNaught (C/2006 P1)            {source: JPL#27},,,,,,
 1660-Dec-10 23:59,2327707.499, ,m,277.7506449,-3.3185166,183.0801
 1661-Dec-10 23:59,2328072.499, , ,277.2200204,-3.1756062,183.1118
 1662-Dec-10 23:59,2328437.499, , ,276.688077,-3.0666797,183.1035
 1663-Dec-10 23:59,2328802.499, ,m,276.1542734,-2.9550258,183.0261
 1664-Dec-10 23:59,2329168.499, , ,275.6167505,-3.310176,182.8913
 1665-Dec-10 23:59,2329533.499, ,m,275.0795286,-3.2090394,182.7358
 1666-Dec-10 23:59,2329898.499, ,m,274.5411541,-3.0768334,182.6305
 1667-Dec-10 23:59,2330263.499, , ,274.0025466,-2.9382955,182.6335
 1668-Dec-10 23:59,2330629.499, ,m,273.4622795,-3.326428,182.7139
 1669-Dec-10 23:59,2330994.499, , ,272.9247229,-3.1763168,182.8116
 1670-Dec-10 23:59,2331359.499, , ,272.3878704,-3.0522018,182.9009
 1671-Dec-10 23:59,2331724.499, ,m,271.8511104,-2.9395791,182.9686
 1672-Dec-10 23:59,2332090.499, , ,271.3121758,-3.2863372,183.0159
 1673-Dec-10 23:59,2332455.499, , ,270.7743597,-3.182863,183.0361
 1674-Dec-10 23:59,2332820.499, ,m,270.2351593,-3.0598829,183.0071
 1675-Dec-10 23:59,2333185.499, , ,269.6944331,-2.924807,182.9305
 1676-Dec-10 23:59,2333551.499, ,m,269.1500224,-3.3232957,182.8076
 1677-Dec-10 23:59,2333916.499, ,m,268.6061715,-3.1844641,182.6913
 1678-Dec-10 23:59,2334281.499, , ,268.0616097,-3.0580945,182.6534
 1679-Dec-10 23:59,2334646.499, ,m,267.5169078,-2.9465234,182.7097
 1680-Dec-10 23:59,2335012.499, , ,266.970931,-3.2883977,182.8176
 1681-Dec-10 23:59,2335377.499, , ,266.4278387,-3.1705205,182.9273
 1682-Dec-10 23:59,2335742.499, ,m,265.885356,-3.0460191,183.0128
 1683-Dec-10 23:59,2336107.499, , ,265.3431539,-2.9002776,183.0823
 1684-Dec-10 23:59,2336473.499, ,m,264.7986288,-3.2931442,183.134
 1685-Dec-10 23:59,2336838.499, ,m,264.25506,-3.1613279,183.1554
 1686-Dec-10 23:59,2337203.499, , ,263.7101504,-3.032915,183.1377
 1687-Dec-10 23:59,2337568.499, ,m,263.1633783,-2.9351579,183.0562
 1688-Dec-10 23:59,2337934.499, , ,262.6128399,-3.2896933,182.9299
 1689-Dec-10 23:59,2338299.499, , ,262.0627858,-3.17545,182.8027
 1690-Dec-10 23:59,2338664.499, ,m,261.5117017,-3.0616248,182.7376
 1691-Dec-10 23:59,2339029.499, , ,260.9604911,-2.9116447,182.7681
 1692-Dec-10 23:59,2339395.499, ,m,260.4077944,-3.2966992,182.8547
 1693-Dec-10 23:59,2339760.499, ,m,259.8576354,-3.1620572,182.946
 1694-Dec-10 23:59,2340125.499, , ,259.3080021,-3.0207913,183.029
 1695-Dec-10 23:59,2340490.499, ,m,258.7582381,-2.917069,183.0918
 1696-Dec-10 23:59,2340856.499, ,m,258.2059204,-3.2721052,183.1339
 1697-Dec-10 23:59,2341221.499, , ,257.6544861,-3.1523984,183.1434
 1698-Dec-10 23:59,2341586.499, ,m,257.1013875,-3.0476675,183.0975
 1699-Dec-10 23:59,2341951.499, , ,256.5464645,-2.9083081,182.9996
 1700-Dec-10 23:59,2342316.499, , ,255.989715,-2.7990745,182.8592
 1701-Dec-10 23:59,2342681.499, ,m,255.43144,-2.683605,182.7377
 1702-Dec-10 23:59,2343046.499, , ,254.8724687,-2.5391856,182.7065
 1703-Dec-10 23:59,2343411.499, , ,254.3135123,-2.4276544,182.7689
 1704-Dec-10 23:59,2343777.499, ,m,253.7534842,-2.7870385,182.8741
 1705-Dec-10 23:59,2344142.499, , ,253.1960111,-2.6462741,182.9778
 1706-Dec-10 23:59,2344507.499, ,m,252.6390367,-2.5376107,183.0564
 1707-Dec-10 23:59,2344872.499, ,m,252.0820816,-2.3963672,183.1182
 1708-Dec-10 23:59,2345238.499, , ,251.5230591,-2.7704371,183.1588
 1709-Dec-10 23:59,2345603.499, ,m,250.9645799,-2.6617546,183.1671
 1710-Dec-10 23:59,2345968.499, , ,250.404662,-2.521584,183.1365
 1711-Dec-10 23:59,2346333.499, , ,249.8430082,-2.4156904,183.0521
 1712-Dec-10 23:59,2346699.499, ,m,249.2779194,-2.7906951,182.9402
 1713-Dec-10 23:59,2347064.499, , ,248.7132443,-2.6532849,182.8531
 1714-Dec-10 23:59,2347429.499, ,m,248.1478733,-2.5462003,182.8383
 1715-Dec-10 23:59,2347794.499, ,m,247.5825026,-2.4073589,182.9022
 1716-Dec-10 23:59,2348160.499, , ,247.0161304,-2.7687221,182.9994
